applicant_income,loan_amount,credit_history,debt_to_income,loan_term,employment_length,loan_to_income,approved
151958,43463.3,1,0.1,24,7,0.28602179549612394,1
176867,45992.2,1,0.10232245495840586,12,18,0.26003833388930664,1
161932,59618.14,1,0.1,24,14,0.36816774942568486,1
133694,44998.61,1,0.1,12,6,0.3365791284575224,1
149879,21807.76,1,0.1,12,14,0.14550243863383128,1
140268,27144.19,1,0.1,24,8,0.19351662531724984,1
84886,14816.57,1,0.18259671609166542,36,7,0.17454668614376928,1
167337,54080.62,1,0.1,24,11,0.32318387445693425,1
198266,21821.1,1,0.1,24,12,0.11005971775291779,1
117498,31838.07,1,0.24817764842270815,12,6,0.2709669100750651,1
142727,46919.73,1,0.1,24,14,0.3287375899444394,1
156324,56750.25,1,0.1,12,11,0.36302966914869117,1
46023,9325.39,0,0.20819542846188305,36,4,0.20262455728657408,0
71090,24623.95,0,0.2296681330940432,60,13,0.34637712758475175,0
97221,12948.82,1,0.1,60,10,0.13318953723989674,1
94820,33560.18,1,0.1,36,14,0.3539356675806792,1
30769,4253.71,1,0.3612481963535975,36,11,0.13824661184958886,1
89735,19668.67,1,0.10439594816106448,36,8,0.21918615924667073,1
94925,32197.48,1,0.12878085681291798,60,18,0.33918862259678695,1
35311,5119.22,0,0.20250440088378768,60,2,0.1449752201863442,0
133355,22507.05,1,0.1,24,8,0.1687754489895392,1
115305,36514.3,1,0.1,12,6,0.3166757729500022,1
189765,59967.82,1,0.1,24,15,0.316010960925355,1
160608,46952.83,1,0.1,12,17,0.2923442792388922,1
186730,57547.3,1,0.1,12,9,0.30818454452953464,1
114478,30086.8,1,0.20850386562072948,24,14,0.2628173098761334,1
152537,26776.3,1,0.18740301166564638,12,18,0.1755397051207248,1
179503,36566.34,1,0.1,24,13,0.20370879595327096,1
160523,24797.48,1,0.12046796868186688,12,15,0.15447929580184772,1
32747,12199.41,1,0.13129685212681816,36,4,0.3725351940635783,1
153855,42312.82,1,0.17654079020527996,12,16,0.27501751649280165,1
95725,21083.95,1,0.1,36,14,0.22025541916949595,1
159981,38171.75,1,0.1606099241447329,24,7,0.2386017714603609,1
114654,44048.35,1,0.2686197175863804,24,12,0.3841850262529,1
196845,28740.44,1,0.1,12,7,0.1460054357489395,1
149346,41199.92,1,0.19376549271672877,12,10,0.2758689218325231,1
